vegetation_pct,building_pct,road_pct,sidewalk_pct,sky_pct,signage_pct,vehicle_pct,pedestrian_pct,street_furniture_pct,green_coverage_pct,building_coverage_pct,sky_visibility_pct,walkability_ratio,visual_clutter_index,filename,area,point_id
66.11,10.66,0.0,23.06,0.0,0.0,0.0,0.0,0.17,66.11,10.66,0.0,1.0,0.17,KAYUTANGAN_ST-01.jpg,KAYUTANGAN,ST-01
69.86,10.53,0.0,19.02,0.0,0.0,0.0,0.0,0.59,69.86,10.53,0.0,1.0,0.59,KAYUTANGAN_ST-02.jpg,KAYUTANGAN,ST-02
48.6,0.0,0.0,18.08,0.0,0.0,0.0,0.0,33.32,48.6,0.0,0.0,1.0,33.32,KAYUTANGAN_ST-03.jpg,KAYUTANGAN,ST-03
62.62,0.56,0.01,30.36,0.0,0.0,0.83,0.0,5.63,62.62,0.56,0.0,0.9998,6.46,KAYUTANGAN_SB-01.jpg,KAYUTANGAN,SB-01
71.14,13.5,0.0,14.96,0.0,0.0,0.0,0.0,0.4,71.14,13.5,0.0,1.0,0.4,KAYUTANGAN_SB-02.jpg,KAYUTANGAN,SB-02
78.28,10.1,0.0,11.45,0.0,0.0,0.0,0.0,0.18,78.28,10.1,0.0,1.0,0.18,KAYUTANGAN_SB-03.jpg,KAYUTANGAN,SB-03
67.07,10.15,0.0,18.16,0.0,0.0,0.0,0.0,4.62,67.07,10.15,0.0,1.0,4.62,KAYUTANGAN_ST-04.jpg,KAYUTANGAN,ST-04
74.17,5.74,0.0,18.35,0.0,0.0,1.41,0.0,0.32,74.17,5.74,0.0,1.0,1.73,KAYUTANGAN_ST-05.jpg,KAYUTANGAN,ST-05
36.92,10.22,0.0,20.72,0.0,0.0,0.06,0.0,32.09,36.92,10.22,0.0,1.0,32.15,KAYUTANGAN_ST-06.jpg,KAYUTANGAN,ST-06
82.78,3.99,0.0,13.1,0.0,0.0,0.0,0.0,0.14,82.78,3.99,0.0,1.0,0.14,KAYUTANGAN_SB-04.jpg,KAYUTANGAN,SB-04
75.2,12.33,0.0,12.43,0.0,0.0,0.0,0.0,0.04,75.2,12.33,0.0,1.0,0.04,KAYUTANGAN_SB-05.jpg,KAYUTANGAN,SB-05
75.15,13.03,0.02,11.27,0.0,0.0,0.16,0.0,0.38,75.15,13.03,0.0,0.9984,0.54,KAYUTANGAN_SB-06.jpg,KAYUTANGAN,SB-06
50.42,27.7,0.0,20.36,0.0,0.0,0.0,0.0,1.53,50.42,27.7,0.0,1.0,1.53,KAYUTANGAN_ST-07.jpg,KAYUTANGAN,ST-07
51.19,34.45,0.0,10.6,0.0,0.0,0.0,0.0,3.76,51.19,34.45,0.0,1.0,3.76,KAYUTANGAN_ST-08.jpg,KAYUTANGAN,ST-08
66.61,3.47,0.02,15.02,4.39,0.0,2.09,0.0,8.4,66.61,3.47,4.39,0.9988,10.49,KAYUTANGAN_ST-09.jpg,KAYUTANGAN,ST-09
61.74,15.36,0.0,8.84,0.0,0.0,0.0,0.0,14.06,61.74,15.36,0.0,1.0,14.06,KAYUTANGAN_SB-07.jpg,KAYUTANGAN,SB-07
50.35,46.98,0.0,1.37,0.0,0.01,0.0,0.0,1.29,50.35,46.98,0.0,0.9999,1.31,KAYUTANGAN_SB-08.jpg,KAYUTANGAN,SB-08
56.8,30.01,0.0,11.29,0.0,0.0,0.0,0.0,1.9,56.8,30.01,0.0,1.0,1.9,KAYUTANGAN_SB-09.jpg,KAYUTANGAN,SB-09
66.82,12.53,0.0,16.4,0.0,0.0,0.62,0.0,3.64,66.82,12.53,0.0,1.0,4.25,KAYUTANGAN_ST-10.jpg,KAYUTANGAN,ST-10
